Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-90,0,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,1,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,2,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,3,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,4,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-85,0,--,4,False,0.5,-85.06,1.277,8.961,0.055,-15.611,2.435,2.696,0.043,-0.497,0.797,[0.006 0.05  0.09  0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,1,--,4,False,0.5,-84.47,0.981,10.576,0.047,-5.987,1.513,1.491,0.048,-0.496,0.838,[0.009 0.05  0.129 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,2,--,4,False,0.5,-85.16,1.334,8.923,0.056,-16.906,1.852,1.85,0.042,-0.496,0.899,[0.006 0.05  0.193 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,3,--,4,False,0.5,-84.83,1.103,10.119,0.049,-9.343,1.647,2.813,0.045,-0.497,0.799,[0.007 0.05  0.092 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,4,--,4,False,0.5,-85.05,1.318,8.823,0.056,-18.726,1.799,2.566,0.043,-0.496,0.818,[0.006 0.05  0.112 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,0,--,0,False,0.5,-80.18,0.947,6.073,0.081,0.0,1.584,3.8,0.085,-0.491,0.153,[0.009 0.044 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-80,1,--,4,False,0.5,-78.24,0.812,5.9,0.083,-26.316,1.804,0.701,0.102,-0.49,0.718,[0.011 0.05  0.007 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,2,--,4,False,0.5,-79.95,0.834,6.815,0.072,-19.215,1.766,1.16,0.087,-0.491,0.775,[0.011 0.05  0.064 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,3,--,0,False,0.5,-80.18,0.96,6.041,0.081,0.0,1.729,1.111,0.085,-0.491,0.158,[0.009 0.049 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-80,4,--,0,False,0.5,-79.25,0.975,5.405,0.091,0.0,1.989,0.898,0.093,-0.49,0.154,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-75,0,--,2,True,0.5,-79.25,0.0,0.0,0.0,0.129,0.0,0.0,0.093,-0.49,0,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,1,0,0
0.5,-75,1,--,2,True,0.5,-79.25,0.0,0.0,0.0,-0.214,0.0,0.0,0.093,-0.49,0,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,1,0,0
0.5,-75,2,--,2,True,0.5,-79.25,0.0,0.0,0.0,0.18,0.0,0.0,0.093,-0.49,0,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,1,0,0
0.5,-75,3,--,2,True,0.5,-79.25,0.0,0.0,0.0,-0.787,0.0,0.0,0.093,-0.49,0,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,1,0,0
0.5,-75,4,--,2,True,0.5,-79.25,0.0,0.0,0.0,0.212,0.0,0.0,0.093,-0.49,0,[0.009 0.045 0.1   0.    0.   ],--,0,0,0,1,0,0
0.5,-70,0,--,4,True,0.5,-69.82,0.231,11.802,0.04,0.71,2.227,7.018,0.172,-0.468,0.424,[0.009 0.05  0.165 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,1,--,4,True,0.5,-69.93,0.242,11.345,0.041,-0.028,1.669,6.853,0.171,-0.468,0.447,[0.1   0.05  0.097 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,2,--,4,True,0.5,-69.85,0.235,11.629,0.04,-2.953,2.12,7.397,0.171,-0.466,0.431,[0.1   0.05  0.081 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,3,--,4,True,0.5,-69.86,0.244,11.151,0.042,-2.738,2.132,7.354,0.172,-0.469,0.411,[0.1   0.05  0.061 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,4,--,4,True,0.5,-70.0,0.249,11.051,0.042,-0.019,2.667,7.127,0.17,-0.467,0.448,[0.1   0.05  0.098 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,0,--,4,True,0.5,-64.98,0.267,8.031,0.056,-2.945,2.526,5.907,0.21,-0.45,0.43,[0.1  0.05 0.08 0.2  0.  ],--,0,1,0,0,0,0
0.5,-65,1,--,4,False,0.5,-64.98,0.279,7.69,0.059,-4.498,1.969,6.0,0.211,-0.452,0.995,[0.097 0.05  0.198 0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,2,--,4,True,0.5,-64.88,0.271,7.872,0.057,-3.637,2.16,5.646,0.211,-0.45,0.498,[0.1   0.05  0.148 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,3,--,4,True,0.5,-64.93,0.275,7.774,0.058,-3.508,1.701,6.227,0.211,-0.451,0.486,[0.1   0.05  0.136 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,4,--,4,True,0.49,-64.89,0.259,8.224,0.055,-1.992,1.873,6.739,0.21,-0.448,0.359,[0.1   0.05  0.009 0.2   0.   ],--,0,1,0,0,0,0
